title,rating
Ermənistanda etirazlar davam edir,0
"ABŞ-da dəhşətli qətl: “Banda”dan çıxmaq istədi, yüz dəfə bıçaqlandı - FOTO",1
"İsrail əsgəri öldürüldü, Qəzzada ehsan paylandı",0
“Boeing” qəzaları arasında oxşarlıq aşkarlandı - FOTO,1
Kosmik təhlükə: Yerə asteroid yaxınlaşır,0
ABŞ - Rusiya münasibətlərinin pozulmasının səbəbi açıqlandı,0
Texaslı qadın 9 dəqiqəyə 6 uşaq dünyaya gətirdi,0
Daha bir “Boeing” qəza enişi etdi,1
Terrorçunun ailəsi üzr istədi,1
Türk əsgərlər xüsusi təhlükəli terrorçunu məhv etdilər,0
Fermerlər qarın altında qalan inəkləri xilas etməli oldular - VİDEO,0
Belqradda gərgin anlar: prezidentin iqamətgahı mühasirəyə alındı,0
Roma Papası Yeni Zelandiyada məscidlərə hücumdan danışdı,1
Makrondan gözlənilməz bəyanat,1
İndoneziyada sel sularında 63 meyit tapıldı ,1
Yeni Zelandiya baş naziri terror barədə öncədən məlumatlı olub,1
Sorğunun nəticələri Maduronu məyus etdi,0
"“Facebook”dan Yeni Zelandiyadakı terrorla bağlı 1,5 milyon video silindi",1
Yeni Zelandiyada məscidə hücum nəticəsində ölənlərin sayı artdı,1
Naməlum şəxslər Londonda məscidin yanında müsəlmana hücum etdilər - VİDEO,1
Ərdoğandan Yeni Zelandiyadan olan terrorçu ilə bağlı açıqlama,0
"Riki Martin: Onu terrorçu adlandırmırlar, çünki müsəlman deyil!",0
Gürcüstanda sərnişin qatarı relsdən çıxdı,1
Quaydo neft şirkətini Maduronun əlindən alır,0
Parisdə amansız toqquşmalar: xeyli sayda xəsarət alan var,0
Müsəlmanları təhqir edən senator “cəzasını aldı” - VİDEO,0
“Boeing” şirkəti qalmaqallı təyyarə ilə bağlı yeni qərar verdi,1
Şimali koreyalılar inqilaba hazırlaşır?,0
Finlandiyada məscidə irqçi hücum oldu,1
Erməni Ukrayna prezident administrasiyasının əməkdaşını qətlə yetirib,1
Lavrovun Türkiyə səfəri yenə təxirə salındı,0
Koçaryan həbsdə qaldı,0
Rusiya səmasında nadir təbiət hadisəsi - VİDEO,0
Senator müsəlmanların qətliamından yazdı: Günah İslamdadır,1
Yeni zelandiyalı terrorçu Ərdoğan və Merkeli öldürməyə çağırdı,1
Yeni Zelandiya məscidlərinə hücumlarda erməni izi - FOTO,1
Yeni Zelandiyada məscidlərə silahlı hücum: 49 ölü - YENİLƏNİB + VİDEO,1
“Boeing” “737 Max” təyyarəsinin tədarükünü dayandırdı,0
ABŞ qadağan olunmuş raketlərin istehsalına başladı,1
Ərdoğan: “S-400” məsələsində geri çəkilən deyilik,0
ABŞ “düşmən”lərinin sayını açıqladı: 50-dən çoxdur,0
Yerevanda polis aksiya iştirakçılarına güc tətbiq etdi - VİDEO,0
Ermənistan da “Boeing”dən imtina etdi,1
ABŞ-da “mafiya bossu” güllələndi,0
Rusiyada terrorçular zərərsizləşdirildi,0
Qırğızıstan-Tacikistan arasında silahlı insident,1
Ermənistan Müdafiə Nazirliyində kütləvi həbslər,0
Rusiya səmasını “Boeing 737 Max” təyyarələrinə bağladı,0
Rusiyada “qanuni oğru”ların cəzası sərtləşdirildi,0
Qadın paltarı geyinmiş makiyajlı İŞİD-çilər ələ keçdilər - VİDEO,0
Ermənistanda polislə toqquşma - VİDEO,0
İranda partlayış: ölən və yaralılar var - VİDEO,0
"Aparıcı “Boeing” qəzasını lağa qoydu, tənqid hədəfinə çevrildi - VİDEO",1
ABŞ qadağan olunmuş raketləri sınaqdan keçirəcək,1
Çində müsəlman düşərgələri bağlana bilər,1
Kadırov: ABŞ mənim atlarıma nifrət edir,1
“Facebook”dakı problemlə bağlı - AÇIQLAMA,1
“Cırtdan” keçmiş Meksika prezidentini məhkəməyə verdi,0
"Ərdoğan: Netanyahu, özünə gəl!",0
ABŞ-da “Boeing” təyyarələri qadağan olundu,0
Təyyarəni ildırım vurdu - VİDEO,1
ABŞ ali məktəblərində rüşvət qalmaqalı,0
Çavuşoğlu: Putinlə zarafatlaşacaq qədər rus dili bilirəm,0
İlk nüvə partlayışının görüntüsü yayıldı - VİDEO,1
Nigeriyada məktəb binası çökdü: 100-dən çox insan dağıntılar altında - VİDEO,1
"Qıza yazığı gəldi, oğurladığı pulu qaytardı - VİDEO",0
Azərbaycanlı kapitan Bosfor boğazını bağlayası olmadı,0
"Maduronun xalqdan xahişi: Dua edin, işıq yansın",1
Vatikanlı kardinala altı il həbs - Azyaşlı qızlara təcavüz edirmiş,0
Dünyada “Boeing”dən imtina dalğası - Avropa da qoşuldu,0
"İranlı vəkil hicabı tənqid etdi - 38 il həbs, 148 şallaq cəzası aldı",1
Britaniya parlamenti “Brexit” üzrə saziş layihəsini yenə rədd etdi,0
Türkiyə səmada olan “Boeing 737 Max 8” təyyarələrini geri çağırıb,0
Ən çirkli havası olan ölkələr açıqlandı,1
Azərbaycanlı kapitan Bosfor boğazını bağlamaqla hədələyir - VİDEO,1
Daha bir təyyarə qəzası: bu dəfə Çində - Ölənlər var,1
Venesuelada təyyarə qəzası: ölənlər var,1
Həccə gedənlərə elektron viza veriləcək,0
Rusiyada zavodda güclü yanğın - VİDEO,0
Vahid Ələkbərov OPEC+ və möhtəkirlər barədə,1
Rusiya Qərbə uduzur - RƏY,0
"Sərnişin uşağını unutdu, təyyarə geri döndü",0
“Gelandewagen”in hələ beləsi olmayıb - FOTO,0
Hava taksisinin sınaqlarına başlanıldı - VİDEO,0
Sərxoş azərbaycanlı təyyarədə dava saldı - FOTO/VİDEO,1
Çin sularında iki gəmi toqquşdu - 12 balıqçı itkin düşdü,1
Daha bir ölkə “Boeing”dən imtina etdi,0
64 yaşlı italyan qadın xəyanət edən sevgilisini betona basdırdı,1
Alimlər: Beyin insan dərk etməzdən daha öncə qərar qəbul edir,0
ABŞ Rusiyanın nüfuzunu azaltmaq üçün milyonlar xərcləyəcək,0
Əlcəzair hökuməti istefa verdi,0
“Wi-Fi” vasitəsilə məlumatlarınız oğurlana bilər - Yeni üsul aşkarlanıb,1
Estoniya Rusiyaya qarşı torpaq iddiası qaldırır,0
İçindən heç kimin sağ çıxmadığı təyyarənin qara qutusu tapıldı,1
Türkiyə təyyarəsi “hava dərəsi”nə düşdü: onlarla yaralı - FOTO/VİDEO,1
Rusiya həbsxanalarından işgəncə görüntüləri yayıldı - VİDEO,1
Suriya ordusu hücuma keçdi - VİDEO,0
Ərdoğan feministləri İslama hörmətsizlikdə ittiham etdi,0
Rusiya İdlibi bombaladı ,1
“Boeing” yeni təyyarəsinin təqdimatını təxirə saldı - VİDEO,0
Hindistan və Pakistan arasında növbəti insident: yaralılar var,1
"Təyyarəyə iki dəqiqə gecikdi, ölümdən xilas oldu - FOTO",0
Kim Çen Inın qardaşının “qatili” azad edildi - FOTO,0
Ən çox silah satan ölkələr məlum oldu,1
Çində “Boeing” qadağan olundu,0
Efiopiyada təyyarə qəzasında 19 BMT əməkdaşı ölüb - YENİLƏNİB,1
Amerikalı diplomatın təyyarəyə mina keçirtmək cəhdi Kadırovu qəzəbləndirdi,0
Moskvada mənzildən “Mauqli” qız tapıldı - VİDEO,1
Rusiya “kor edən” yeni silahını sınaqdan keçirdi - VİDEO,1
İslamı təhqir edən malayziyalıya ağır cəza verildi ,0
İranlı cütlük ictimai yerdə nişanlandı və həbs edildi,1
Efiopiyada təyyarə qəzasında 157 nəfər öldü - YENİLƏNİB,1
Ficidə güclü zəlzələ,1
Tramp ABŞ qoşunlarının yerləşməsi haqqını artırır,1
Latviya prezidenti Avropanı Rusiyaya qarşı birləşməyə çağırdı ,0
Hindistan Pakistanın pilotsuz təyyarəsini vurdu,1
Ərdoğandan S-400 sistemləri ilə bağlı vacib bəyanat,0
Yapon dənizində gəmi nəhəng canlı ilə toqquşdu,1
Venesuela yenidən qaranlığa qərq oldu - VİDEO,1
Meksikada gecə barına silahlı hücum: 15 ölü,1
Suriya səhrasında İŞİD terroru: ölən və yaralananlar var,1
Planetin ən qoca sakini tarixə düşdü - Hər gün riyaziyyatla məşğul olur,0
Qazaxıstanda elit ərazidə yaşayan azərbaycanlı qarət olundu,1
Ağalarovlar yenidən ABŞ məhkəməsinə müraciət etdi,0
 ABŞ-da 10 ən təhlükəli canidən biri yaxalandı,0
Venesuelanın işığını ABŞ söndürübmüş,1
Kainat gözəli 20 yaşına bir gün qalmış öldü - FOTO,1
Hitlerin dəfinələrinin yeri məlum oldu - Masonlar yarım əsr gizlədib ,1
ABŞ Türkiyəni şantaj etməkdə davam edir,1
Çexiya Rusiyanı NATO-nun əsas təhdidi adlandırdı,0
Quaydo Venesuelada hakimiyyəti devirməyə çağırdı,1
ABŞ-da təyyarə avtomobil yoluna eniş etdi - VİDEO,0
S-400-lərin Türkiyədə yerləşdiriləcəyi tarix açıqlandı,0
Dəniz quldurları İran tankerinə hücum ediblər,0
Suriyada erməni əsgər minaya düşdü,0
Ermənistanda rusiyalı əsgəri bıçaqladılar,0
"Tramp Çexiya baş nazirini gördü, arvadını unutdu - VİDEO",0
Venesuela qaranlığa qərq oldu,1
Səudiyyə Ərəbistanı nəhəng qaz yataqları aşkarladı,0
NATO Avropada yeni nüvə raketləri yerləşdirməyəcək,0
Ermənistan KİV: Putin Sarqsyandan bərk inciyib,1
 Amerikalı müğənni alimentə görə həbs olundu,0
“Taxify” adını dəyişdi,0
Tramp yenə adları qarışdırdı - VİDEO,1
Hindistanda avtobus dayanacağında partlayış törədildi - VİDEO,0
Rusiyalı general amerikalı həmkarına hədiyyə verib - Bakıdakı görüşdə,0
Rusiya və ABŞ hərbi təyyarələri üz-üzə gəldi - VİDEO,0
ABŞ Maduroya kömək edən təşkilatları sanksiyalarla hədələdi,1
Rusiya XİN: Türkiyəyə təzyiq etməklə ABŞ silah bazarındakı zəifliyini göstərdi,0
Ukrayna Türkiyədən pilotsuz uçan aparatlar alıb,0
Tatarıstanda 3 litrlik su balonu evi yandırdı,1
Ankara ABŞ-ın təhdidlərinə cavab verdi,0
Kanada hökumətində korrupsiya qalmaqalı: daha bir nazir istefa verdi,0
Avropa İttifaqının komissarı Paşinyanla Baxtadzeni səhv saldı - FOTO,0
Braziliya karnavalında kütləvi toqquşma - VİDEO,1
İraqda 1500-ə yaxın İŞİD-çi uşaq həbs olunub,0
Şimali Koreya yeni raket sınağına hazırlaşır?,0
Vahid Ələkbərov dünyanın ən zəngin insanlarının sırasında ,0
Evdə saxladığı şir çexiyalını parçaladı,0
Hindistan-Pakistan arasında atəşkəs pozuldu,1
Dünyada qanunsuz orqan alveri pik həddə çatdı,1
Gülnarə Kərimova həbs olundu,0
Qaradərili aktyoru kifayət qədər qara hesab etmədilər,0
Türkmənistan prezidenti ölkə qadınlarının hər birinə 17 dollar bağışlayacaq,0
Dünyanın ən bahalı avtomobili təqdim olundu - FOTO/VİDEO ,0
Tibbdə nadir hadisə - Britaniyada İİV xəstəsi sağaldı,0
Lukaşenkodan KTMT baş katibi ilə bağlı vacib tapşırıq,0
Dünyanın ən gənc milyarderi məlum oldu,0
Pakistan ordusu Hindistanın sualtı hücumunun qarşısını aldı - VİDEO,0
“Palmali” “Lukoil”i məhkəməyə verdi,0
Lukaşenko: Rusiya ilə birləşməyə hazırıq,1
ABŞ anti-raket müqaviləsi üzrə Moskvaya şərtlərini irəli sürdü,0
QİÇS-in müalicəsi tapıldı,0
Dünyanın ən gəzməli-görməli yerləri açıqlandı - FOTO,0
Rusiyada 2050-ci ildə rus qalmayacaq,0
Klinton geri addım atdı,0
Məşhur rok müğənnisi intihar edibmiş,1
Tramp Rusiyaya qarşı sanksiyaların müddətini uzatdı,0
Dünyadakı ən varlı qadın və kişinin adı açıqlandı,1
Xuan Quaido Venesuelaya qayıtdı,1
Roma Papası Vatikanın məxfi arxivini üzə çıxaracaq,0
Rusiya ABŞ-la bağlanmış müqavilədən çıxdı ,0
Ekspert: Rusiya-Belarus münasibətləri “ayı boğuşmasına” çevrilə bilər,0
İranla Hollandiya arasında diplomatik qalmaqal,0
Hindistanda vəhşi meymunlar iki nəfəri öldürdülər,1
“Prodigy” qrupunun vokalisti ölüb,0
Pakistanla Hindistan arasında növbəti insident: 200-ə yaxın ailə köçürüldü,1
Rusiyalı məmurun güllələnmə anı - VİDEO,1
İranda təcili yardıma gedən helikopter qəzaya düşdü: Ölənlər var - FOTO,1
Keniyada prezident helikopteri qəzaya düşdü - Ölənlər var,1
Quaydo Venesuela hökumətinə: Nə badə məni həbs edəsiniz,1
Tramp Inla danışıqların yarımçıq qalmasının səbəbini açıqladı,1
ABŞ-da dağıdıcı tornado: 22 ölü - FOTO/VİDEO,0
Rusiyanın Londondakı səfiri cəsusluqda ittiham olunur,0
Ukraynalı keşiş oğurluq və söyüşə görə Krımda saxlanıldı,1
ABŞ Maduronu devirmək üçün koalisiya yaradır,1
Çində qədim “ölümsüzlük iksiri” tapıldı,0
Hindistan narkoman tutuquşuların hücumuna məruz qalıb - VİDEO,0
"Əfqanıstanda 20 nəfəri sel apardı, itkin düşənlər var",1
Britaniya kraliçasının “bənövşəyi” əlinin sirri məlum oldu,1
Ramzan Kadırovdan vacib bəyanat,0
Rusiyadan İŞİD-lə bağlı önəmli etiraf,1
Xəzərdə gəmi saya oturdu,1
İsveçdə restoranda 100 nəfərin iştirakı ilə dava olub,0
Trampdan qeyri-adi fotosessiya,1
Quaydo qayıdır və əhalini küçələrə səsləyir,1
İtaliyada ən təhlükəli mafiozun həbsi: qadın paltarı da kömək etmədi,0
Tramp güclü dollara qarşı çıxdı,0
İstanbulda güclü yanğın panikaya səbəb oldu,1
"Yenə BMW, yenə ağır qəza: bu dəfə Moskvada",1
"Rusiyada məktəb avtobusu aşıb, xəsarət alanlar var",1
Əlcəzair prezidenti İsveçrədə xəstəxanalıq oldu,0
Pakistanla Hindistan arasında insident: dinc sakinlər öldü,1
“Taliban” Əfqanıstanda hücuma keçdi: 25 ölü,1
Rusiyanın yeganə Nobel laureatı vəfat etdi,1
ABŞ-da təyyarə yaşayış binasına çırpıldı - VİDEO,1
Türkiyə “Patriot” silahlarını almaq üçün danışıqlara başladı,0
Gürcüstan da “qara ciplər”ə savaş açdı,1
Lukaşenko: Nə üçün Rusiya Ermənistana krediti daha az faizlə verir?,0
Zurabişvili Ermənistana səfər edəcək,1
Rusiyalı ekspert: Azərbaycan Çin məhsullarının tranziti ilə maraqlanır,0
Pakistan əsir götürülmüş pilotu Hindistana qaytardı,0
Lukaşenko prezidentlikdən bezib,0
Rusiyada silsilə terror hücumları törətmək istəyiblər,1
Ohanyanın hesablarına həbs qoyuldu,0
Poroşenko tərəfdarının burnunu dartdı - VİDEO,0
Diananın zirehli “Rolls-Royce”u satışa çıxarıldı,0
ABŞ Ben Ladenin oğlunun “başına” mükafat qoydu,1
İmran Xan Ərdoğandan vasitəçilik etməsini istədimi?,0
İstanbuldan Moskvaya uçan təyyarə şübhəli çantaya görə təcili enib,1
“YouTube”də problem yaranıb,1
Vardan Oskanyan dindirildi,0
Qazaxıstanlı ağsaqqal aparıcıların sinə dekoltesinə qəzəbləndi,0
Pakistan və Hindistan arasındakı hava döyüşünün - TƏFƏRRÜATI,1
Trampın təyyarəsində nasazlıq - VİDEO,0
Hərbi ekspert: Hindistan-Pakistan davası “partlayıcı” təhlükə daşıyır,1
Tramp Inla razılaşmamağın səbəbini açıqladı - YENİLƏNİB,0
Hindistan qırıcısının vurulma anı - VİDEO,0
"Inın şəklini çəkmək istədilər, qalmaqal yarandı",0
Venesuelada tonlarla qızıl yoxa çıxıb,0
Pakistan-Hindistan sərhədində atışma,1
Keçmiş vəkili Donald Trampı “dələduz” adlandırıb,0
Tramp: ABŞ və Şimali Koreyanın xüsusi münasibətləri var,1
Qahirədə dəhşətli partlayış: nazir istefa verdi - VİDEO,1
Meksikada bayraq əsgəri havaya uçurdu - VİDEO,0
Paşinyan İranla dostluq əlaqələrindən danışdı,1
Ərdoğandan Lavrova cavab: PKK kürd xalqı deyil,0
Ekspert: Zərif “istefa”sı ilə dramatik bir ifa yerinə yetirib - MÜSAHİBƏ,1
Tramp Inla görüşdü - YENİLƏNİB,0
Hindistan hava məkanını bağladı,0
Pakistan barışıq əli uzatdı: Danışığa hazırıq,0
Nepalda nazirin də içində olduğu helikopter qəzaya uğradı,1
Paşinyan İranda: Ruhani ilə görüşdü,1
Hindistandan Pakistana cavab atəşi: qırıcını vurdu - YENİLƏNİB,1
Venesiyaya giriş pullu olacaq,1
Pakistanla Hindistan arasında gərginlik: hərbi təyyarələr vuruldu - VİDEO,1
Trampla görüş ərəfəsində Ina bəd xəbər,1
Nyu-Yorkda qatar yük maşını ilə toqquşdu: ölənlər var - VİDEO,1
Nurməhəmmədov hökuməti xalqı küçələrə çıxarmaqla hədələdi,0
Türkiyənin məşhur sənət adamları Ərdoğanın ad gününü belə təbrik etdilər - VİDEO,0
Türkmənistanda spirtli içkilər satışdan çıxarılır,0
Putin Ərdoğana zəng etdi,0
Ruhani Zərifin istefasını qəbul etmədi,0
Qazaxıstanlı ekspert: Nazarbayev hökumətə “restart” verib,0
Rusiya Ukraynanı neftsiz qoydu,1
"Notr-Dam yandı, qadın imana gəldi - FOTO",1
Vahid Ələkbərov Rusiyanın üçüncü ən varlı biznesmenidir - FOTO,0
Pakistanda terrorçular sərnişinləri güllələdi,1
Binəli Yıldırımdan İmamoğlunun qələbəsinə reaksiya,0
Tanınmış aktyor Şotlandiyada qətlə yetirildi,1
Alimlər ölmüş beyni diriltməyi bacardılar,0
Portuqaliyada 28 turist yol qəzasında həlak oldu,1
Moskvada təyyarə uçuş zamanı alovlandı - VİDEO,1
2019-cu ilin ən yaxşı avtomobilinin adı açıqlanıb,0
Perunun sabiq prezidenti intihar etdi,1
Əkrəm İmamoğlu vəzifəsini təhvil aldı ,0
Hollandiyada polisin qadınları təpikləməsi narazılıq yaratdı - VİDEO,0
İmamoğlu qələbə qazanıb - Rəsmi təsdiq - YENİLƏNİB,0
Tanınmış rusiyalı yazıçının təyyarədə halı pisləşdi,1
İtkin düşmüş balıqçılar səyahət gəmisi ilə xilas edildi - VİDEO,0
Ermənistan ordusundakı qiyama görə komandir mühakimə olundu,0
Sudan prezidenti həbsxanaya salındı,0
Notr-Damın bərpası üçün inanılmaz məbləğdə pul yığıldı,1
Tripoliyə raket hücumu: ölənlər var,1
"Tarixçi Notr-Dam yanğınından danışdı, studiyadan qovuldu - VİDEO",1
Yaponiya gurultulu səsə görə 19 milyon təzminat ödəyəcək,1
"Çilidə təyyarə yaşayış binasına çırpıldı, ölənlər var - VİDEO",1
Putin Vahid Ələkbərovla görüşdü,0
ABŞ sabahdan bir sıra ölkələrə qarşı sərt sanksiyalar tətbiq edəcək,1
Yerevanda atışma - “Ararat”ın qapıçısı qətlə yetirildi,0
"İki əsrə tikilmişdi, bir gecəyə külə döndü - Notr-Damın şahidlik etdiyi tarix",0
“Charlie Hebdo” Notr-Dama karikatura həsr etdi - FOTO,0
Rusiyalılar arasında Stalina pərəstiş rekord həddə çatıb,0
Fransada milyarder ailə Notr-Dama 100 milyon ayıracaq,1
Notr-Dam alovlar içində: daxildən çəkilmiş şəkillər yayıldı - FOTO ,0
Tramp Ərdoğanın kürəkəni ilə görüşdü - FOTO,0
Savçenko azadlıqda,0
ÜST qızılca ilə bağlı qorxulu statistika açıqladı,1
Notr-Dam kilsəsindəki yanğın söndürülüb - YENİLƏNİB + VİDEO,0
Notr-Dam kilsəsindəki qədim dini əsərlər xilas edilib,1
Ankara Vaşinqtona ciddi xəbərdarlıq etdi,0
Dünyada ilk dəfə 3D formatında ürək çap olunub - VİDEO,0
Rusiya NATO ilə əməkdaşlığı dayandırdı,0
Lukaşenko: Ərdoğan mənə “qardaş” deyir,0
Gürcüstan ermənilərindən dövlət dilini öyrənmələri tələb olundu,0
Assanc Ekvador səfirliyində casusluqla məşğul olub,1
"Körpə altıncı mərtəbədən yıxıldı, sağ qaldı - VİDEO",0
Ən nəhəng ikigövdəli təyyarə sınaqdan keçirildi - VİDEO,0
Əfqanıstanda partlayış - Çoxlu sayda uşaq ölüb və yaralanıb,1
Çikaqoda qar qasırğası 600 reysi təxirə saldı,1
Assancın səfirlikdəki həyatının görüntüləri yayımlandı - VİDEO,1
Ayağının altına ildırım düşən türk ölümdən döndü -VİDEO,0
Poroşenko debatlara Zelenski olmadan başladı,0
"Avstraliyada küçədə qara “Porsche”dən atəş açıldı, ölü və yaralılar var",1
Zukerberqi “Facebook”dan uzaqlaşdırmaq istəyirlər,0
Rusiyada milli parkda güclü yanğın olub - YENİLƏNİB,1
İstanbulda ağır tonnajlı kranın aşma anı - VİDEO,1
"Londonda Ukrayna səfirliyi mühasirəyə alındı, polis atəş açdı",1
Lavrovdan ABŞ-a sərt ittiham,1
Marsda “pinqvin” tapıldı - FOTO,0
Putin gəlirlərini açıqladı,1
Kim Çen In ABŞ-a fikirləşməyə vaxt verdi,0
Rusiyada 2 İŞİD-çi məhv edilib - VİDEO,0
Roma Papası Sudan prezidentinin ayağını öpdü - FOTO/VİDEO,0
Litva Moskvadakı səfirinin geri çağırılma səbəbini açıqladı,0
"İndoneziyada 6,8 bal gücündə zəlzələ",1
Ermənistanda gömrükdəki məşhur videonu çəkən şəxs işdən qovuldu,1
"Robotu oğru bildilər, silahlı polislər evə basqın etdi - VİDEO",1
Poroşenko və Zelenski canlı yayımda söz güləşdirdi - VİDEO,0
Avrokomissiyanın rəhbəri birinci xanıma çətin anlar yaşatdı - VİDEO,0
Vətəni Assancdan üz döndərdi,1
İsraildə seçkilərin yekun nəticələri açıqlandı,1
Pakistanda terror: 16 nəfər öldü,1
Britaniyada təyyarə qolf meydanına düşdü - FOTO,1
Tramp Inla münasibətlərindən danışdı,1
Evdə atom bombası hazırlamağı öyrədən sayt bağlandı,0
İsrail Ayı fəth edə bilmədi,0
Ermənistanda hərbçiləri daşıyan avtomobil aşdı - Çoxlu sayda yaralı var,0
Türkiyə XİN Makronun soyqırımı qərarına sərt münasibət bildirdi,0
Sudanda hərbi çevriliş: fövqəladə vəziyyət elan olundu - YENİLƏNİB + FOTO/VİDEO,0
Sudandakı çevrilişin arxasından ABŞ çıxdı - VİDEO,1
Qara dəliyi dünyaya bu qız göstərdi - FOTO,0
Cullian Assanc həbs olundu - VİDEO,1
Koçaryan həbsdə qaldı,0
In dünyanı hədələdi: Zərbələr endirməliyik,1
“Amazon” rəhbərini şantaj edən jurnal satışa çıxarıldı,1
BMT-də gərgin anlar: Venesuela və ABŞ rəsmiləri üz-üzə,0
Ermənistanda nüfuzlu Rusiya kanallarının bağlanması təklif olundu,0
Tramp “qanunsuz ifritə ovu”ndan və dövlət çevrilişinə cəhddən danışdı,1
Xəlifə Həftarın ordusu Liviya hökumətinə məxsus hərbi təyyarəni vurub,1
Angela Merkelə ağır itki üz verib,1
Donald Tramp onuncu dəfə baba olacaq,1
Kiyevdə azərbaycanlılar biznesmeni güllələdi,1
Alimlər ilk dəfə qara dəliyi göstərdi - FOTO,0
“Boeing” bir təyyarə belə sata bilmir,0
Venesuela qızıllarını satır,1
İran sərhədi yaxınlığında helikopter qəzaya uğradı - Ölən var,1
“YouTube”un işində problem yaranıb,1
Tramp Türkiyəyə səfər etmək istəyir,0
Ən çox ölüm cəzası verilən ölkələr açıqlandı,1
ABŞ Rusiya ilə kosmik müharibəyə hazırlaşır,0
Çinli qardaşını xilas etmək üçün təhsildən imtina etdi,0
Radarlardan itən qırıcının qalıqları tapıldı,1
İsraildə seçkilərin ilkin nəticələri açıqlandı,1
"İsraildəki seçkilərdə Netanyahu da, rəqibi də özünü qalib elan etdi",1
Putin tərcüməçiyə “quldur” dedi,0
Ərdoğanın partiyası İstanbulda seçkilərin yenidən keçirilməsini istəyir,1
NATO ölkələri Moskvaya nümayəndə göndərməkdən imtina etdilər,0
Berlində kuryoz: Merkel Tereza Meyi qarşılamağı unutdu - VİDEO,0
"15 yaşlı kamikadze terror törətdi - 8 ölü, 26 yaralı var",1
Yaponiyaya məxsus “F-35” radarlardan itdi,1
Rusiyada müəllim şagirdini yerə çırpdı,1
Çində kuryoz hadisə: Bəyin keçmiş sevgilisi gəlinlikdə toya gəldi - VİDEO,1
Əlcəzairə müvəqqəti prezident seçildi,0
Putinin aşpazı: Azərbaycan plovu hazırlamağı çox istərdim,0
Türkiyə ordusu PKK rəhbərini belə məhv etdi - VİDEO,0
Nazarbayevin qızı prezidentliyə namizədliyini irəli sürməyəcək,0
Qazaxıstanda erkən seçkilərin vaxtı məlum oldu,1
MSK Ərdoğanın tələbini qəbul etmədi,0
Putin Trampın bu addımını pislədi,1
Tramp miqrasiya siyasətini sərtləşdirməyə hazırlaşır,1
Tripoli uğrunda döyüşlər: 50 ölü - VİDEO,1
ABŞ Avropanı “ticarət müharibəsi” ilə hədələdi,1
Qırğızıstanda müsəlmanlara plastik əməliyyat haram elan edildi,0
Putin Ərdoğana daha çox silah vəd edib,0
ABŞ və İran bir-birlərinin ordularını terror təşkilatı elan etdilər,0
Odessada qiyam - Qubernator Ukrayna prezidentinə tabe olmur,1
"ABŞ-da mühacirlər gizlənmək istədilər, hərbi bazaya düşdülər",1
Ərdoğan Putinlə görüşdü - YENİLƏNİB,0
Tonoyan “xarici sponsorlardan” pul almağa çalışır - MÜSAHİBƏ,1
Amerikalı hicaba görə ABŞ ordusunu məhkəməyə verir,0
Yerevanda etiraz aksiyasında toqquşma - FOTO,0
Uşaqlar son anda yanan avtomobildən xilas edildi - FOTO/VİDEO,0
