comment_text,target
Kod 101 xəta E-kapitalbankdan sonra növbəti biabrçılığınız.ay qardaş işlədə bilmirsiz yaratmayın da bu zibili.bir gün istfiade etdim növbəti gün xəta verdi bir neçə telefond bir neçə kartla yoxladım hamısı eyni xətanı verdi.biraz məsuliyətiniz olsun,1
Gözel Yaxşı aplikasiyadı,0
Sooo goood Good job guys 👌🏼👍🏼,0
Əla Masallı şöbəsinin əməkdaşlarına təşəkkür,0
Super Super aplikasiyadı,0
x excellent💎,0
Ela Cox gozel,0
Negativ It doesnt work. Even bank workers cannt fix it. I,1
gulnar suleymanova Mingecevir filiali Gs,0
Bırbank super Teshekkur Fuzulı fılıalı,0
Birbank yukledim Fuzuli filiali teshekkur,0
Kapar Ela proğramda 11+,0
☺️ Her sey eladir. Pul kocurmeleri etmek de asandir. Lakin taksit siyahisi yoxdur. Odemeleri gormek ucun web sehifeye baxmali oluram. Can you add this function to your application?,0
Əla Agdaş filialında qoşuldum,0
Super Ağdaş filialında qoşuldum.,0
"Qeydiyyat işləmir Kartla qeydiyyat zamanı 101 xətası gəlir. Developer yazacaqki, zəng sifariş edin və ya 196-ya zəng edin. Hər iki variantı yoxlamışam, fikir verən yoxdur.
UPDATE: yaşım 18dən aşağıdır deyə, qeydiyyat mümkün deyilmiş. Xüsusi ərizə ilə hesab açmaq mümkündürsə, Birbank qeydiyyatı niyə ərizə ilə mümkün olmasın ?",1
Ela Cox rahat,0
DüzeltdiyiniZ proqramın içini ........... Bi poxa derman deyil,1
Perfect Məncə proqram əla alınıb),0
"Fizuli Branch Fizuli branch is good,very good",0
Gulshan Cox super proqramdi,0
Fizuli👍🏻 Fizuli👍🏻,0
Ios user Salam qeydiyyatdan kecerken karta aid butun melumatlari yazmagima baxmayaraq 3ds vertification failed xetasi aliram ne ede bilerem. Tesekkurler,0
M Ela,0
Bb Cox rahatdi,0
Mukemmel Cox gozel tetbiqdir.Tesekkur edirem Kapital Bank.Hetta krediti odenisi bele elemek olur👍🏻,0
"Memmedli Shehla Bu mobil tetbiq isleri cox asanlasdirdi, tesekkurler",0
Nice app. Thank you for User friendly app,0
"Birbank Cox sağ olun, funksional ve rahatdır",0
Yoxdu belə app İstənilən bank kartına pul köçürülməsi nə zor söhbətdi. 👌🏻,0
10 baldan 6 bal Biyabirci gunde,0
"Bir bank Indi ise proqram vasitesile ozume kontur gonderdim, kartdan pul cixib, amma balansima hecne gelmeyib. Bu kapital bankin bashina dash dushsun.",1
"Əladır! """"""""Kapital Mobile""""""""-a nisbətən qat qat üstündür",0
Birbank 👏👍,0
👍👍👍👍👍 👍👍👍👍👍,0
"Birbank practical 👏👏👏 
Like this one",0
👎 doesn’t work!,1
👍 Super,0
Ok 👍,0
"Cool👍🏼 Useful, excellent 👍🏼",0
Cool 👍🏻.,0
New update please It needs new update because of the lags. Atfer IOS13 it doesn’t work normally.,1
"🆘 SORUN VAR🆘 Kendi numaramla kayıt yaptıkda """""""" Bu telefon numarasıyla kayıt olamazsınız. Sadece, bu telefonda en son kullanılan WhatsApp numarasıyla kayıt olabilirsiniz """""""" diyo. Kayıt yaptığım numara hep kullandığım eski WhatsApp numaramdı.",1
rasul son gorulmeyi dondurma da olsaydi zor olurdu,0
Story problem😡😡 Story problem😡😡,1
Dark mode Hello. Whatsapp needs dark mode!!,0
Baku Wery nice wp thanks Mark,0
Ali 👏,0
Z Wp+ ləğv edilsin )),0
👍🏻👍🏻👍🏻👍🏻 super!☝️👍🏻☝️,0
Not working after last UPDATE Not working after last UPDATE on ios.!!!!! Red Error on messages .!!!!!!!!!! Whats happenned? 50 notifications per day it tell to update and after this ...... Is this how u work??? Xarabaya qalsin ele whatsappiniz bawvuza deysin !,1
Bir bug var Bildirişden gelen sesli mesajları açdıkda kulak sensoru ile sesi kulağa deyil dışarı verir lütfen yardımcı olun. Sizden geridönüşünüzü bekliyorum,0
🧸🌸 Çok güzel 😍Seviyoruz bu programı🧸,0
"why does it show me busy but i'm not talking to someone? Dear Developers!
When I’m offline and not talking to anyone, someone calls me and shows him that I’m busy, like I'm talking to someone .. why ?!",1
Xalid Wotcapda goruntulu daniwanda sesim gedmir,0
instagram @aliye_ff super,0
Problem Whatsapp have problem.No connect server.,1
SMİLES NUNCHAKU Please can you also add a NUNCHAKU tool to sports smiles ?,0
Microphone (video call) for iphone 6s plus Microphone for video call doesn’t work on my & daughter iPhone 6s plus,1
Salam WhatsApp Cox beyenirem... ela🤗,0
Süper Perfekt,0
Супер Ковтуьаь,0
..... !!!!!!,0
Cook güzel😍😍😍 Teşekkür wp😍,0
"Whatsapp Çok güzel,bir tek whatsapp aramaları bir az garip oluyor.",0
Müthiş Harika,0
Hsy 🥰🥰♥️,0
"Good, but Not Advanced Some addings are really needed to make the app advanced.",0
Terrible EVERYDAY A NEW PROBLEM,1
Tunzala omarzade Good,0
"Other Pleas addition online option , because I wanna see who online this messanger  and pleas fixed up what’s app 
Thank for attention🙏🏻",0
What’s app does not work In Azerbaycan what’s app has problem. Something wrong with what’s app. It doesn’t work. We can’t send a video even photo,0
Amazing amazing,0
siz Muhtişimmm.,0
Əla Əla,0
Жрет зарядку Сильный потребитель заряда,1
help please help me its dont download,1
sohbet kecmisi sohbet kecmisi yuklenmiyor,1
Ringtone Pls add new ringtons and sms tone,0
Thanks 👍🏻,0
"Совет Пожалуйста сделайте так, чтобы Whatsapp статус не был заранее виден. Чтобы на статусе была фотография профиля как в Instagram. Спасибо!",0
Fikir Canlı yayını olursa güzel olmazmı?,0
Вотсапу Хорошо,0
"Version 2.19.51 bugs and errors. Urgently need to update the арр, because application works very bad and terrible on iphone 8 (256GB) and others apple devices with ios 12.3.1 and haven’t any problems in other applications, games or programs. When you click on the earth icon for choose language or emoji keyboard, while scrolling chat messages up or down, choose somebody for typing message, typing to somebody or select emoji its hangs for 5-10 seconds, maybe more. Please correct many bugs and lags at last. 
These problems continue throughout the whole year, after updating iPhones on ios 12. Do at least something...",1
"Best app ever! Easy to use, comfortable!",0
keni nuri iyisin dosduum,0
Tesekkurler Sevdiklerimizle ulasmayi kolaylasdirdiqin icin iyiki Carson,0
Like En çok kulanilan proqram super,0
👍🏼👍🏼👍🏼 👍🏼👍🏼👍🏼,0
messages back All of my messages deleted I want them back,1
"есть неудобство пожалуйста исправьте при публикации видео статуса ватсап сам автоматически вырезает первые 30 секунд. 
при попытке второй части видео секунды не отображаются что затрудняет уловить кадры для продолжения публикации второй части видео.",0
Her şey eladı 👍🏻,0
Ses Düzeyi Ses Düzeyi Bazen İyi oluyor bazen gidib geliyor Bu Arızayı Qaldırasınız Daha İyisi Yok,0
Ben Perfect,0
SK Would be better if a night mode option was available.,0
pecat Pecatdi,0
"Sticker problem From new update, don’t work stickers 😶",1
Diana Çox seviyorum ama yeni çıkartmalar gelmiyor,1
👏🏻 благадарю за всё.,0
Whatsapa durum qoyanda instagram ki ozellikler gelseydi lap ela olardi Superdi😎👍,0
Ela Super uygulama,0
Whatsapp💞 Seni seviyorum Whatsapp,1
AZE🇦🇿 Nice!,0
Тёмная тема Почему нет тёмная тема?,0
"😎 Whatsappda son gorunmeni baglamaq, tek ✔️ olsa yaxsi olar. Catmayib kimi😜",0
Hello Hello,0
"Freezes After last update while chatting, messages a little bit freezes when you send",1
Proooooobleeeeeemmmm WhatsApp dont working after last updating!!!,1
"Help please Dear developers, whatsapp I thank for the fact that this application is there, but mey has a problem because of the last update. I have a problem. When I go to the application, it just takes and crashes ... I tried everything, but nothing happened, tell me what the problem is I have this problem on iphone 4s.",0
Super təşəkkürlər😘 Super təşəkkürlər😘,0
Ela Ela,0
Vhatsappım Olmazssa olmazım,0
Whatssap  Business How To Get Whatssap Business in IOS??,0
Thanks to instagram Instagram opens a new world ... new opportunity for us.. we can share our experience,0
Bloqodarnost Spasibo,0
❤️ Her wey cooooxx gözell,0
"I love WhatsApp Well, l love WhatsApp. Because it is very comfortable app to chat,  make video call, or just call your friend. You can even make group by adding your friends. This will be general place where your all friends can chat together. You can make title and add icon to your group. You can have group video chat. But if you want to chat with your friend individually you can make contact with the friend you want to talk with.",0
Zor Zordu senol,0
süper teşekkür,0
Slow Last time working very very slowly and bad . Please fix the problem !!!!! Everyone using this app u know ...whats problem Mark ? U cannot!!!!!!,1
"Problem to send media files Dear manager, there is a problem to send media file. I can not send any file to anybody. Please, fix it.",1
не работает!!!!! плохо очень!!! не работает!!!!,1
Watsap. Sorun Watsapda sorun var fotoraflar ve vidyolar gitmiyo,1
New emoji İt would be better to see new smiles and emoji,1
I need whatsapp business for ios!!! I need whatsapp business for ios!!!,0
Aramalar Aramalarda problem oluyor,0
🖤 Ela🖤❤️,0
Qardas Superdi,0
Хочу WhatsApp на Apple Watch! Приложение классное но я бы хотел бы чтобы это приложение было доступно на Apple Watch! Пожалуйста добавьте WhatsApp на Apple Watch!,0
Me I can’t send videos anyone and story,0
Моё мнение Очень хороший сайт,0
Good Yess touch id,0
Izlenilmesin whatsup Baska proqramlarla baska kisiler tarafindan whatsupim izlenilmesin,1
Bad bad New whatsapp so bad in IOS.,1
H Biraz daha çok yenilikler olsun,0
"Son görünme duraklatma Touch ID özelliyi super oldu. Teşekkürler sunuculara. Bir de son görünme zamanı duraklatma olsa (whatsap plus daki gibi), üzerine laf olamaz. 😘",0
iPhone I can’t use new WhatsApp emojis.In updates it is impossible.How can I update my WhatsApp???,1
Arama sesli ve goruntulu arama cok zayif,0
What’s up What’s up самая лучшая социальная сеть,0
❤️❤️😊 Класс,0
huseynov___05 Follow me huseynov___05,0
"Елгиз Мамедов Сегодня утром проснулась и вижу 
Fece I WhatsApp Это классно Спасибо",0
"Deleting message for everyone Please, cancel deleting message for everyone function😑😑😑😑",0
Guzel Howuma gıdıyor,0
ela super,0
WhatsApp Çok güzell,0
Superrrr😍😍😍 Ela,0
Хуятусы Ну ебаный насосень. Статусы хули не грузятся,0
Please Пожалуйста при отправке видео сделайте больше 3 мин,0
👍👍👍👍👍👍👍 ❤️❤️❤️❤️❤️❤️,0
☺️ Zor,0
السماوه الرميثه,0
"Классно, но добавте Приложение однозначно хорошее, но можно добавить в звонок трансляцию экрана телефона; думаю будет прикольно!",0
advise I advise you that WhatsApp when you watch Status Like Like and Dislike,0
Great Our every day chatting application 🤙🏼,0
good Super!!!!,0
Mr This is very good chatting...,0
donma var lutfen su donmayi duzeldin iphone 6,1
❤️ Harika✌🏻,0
"iphone 7 iphone 7 için hatalar olduğunu hatırlatmak isterim
Durum gibi mesela",1
Whasapp at iphone Xs max dual card It’s not possible to use 2 numbers Whatsapp at IPhone Xs max.,1
Previous version I want previous version of the whatsapp. For that reason i selected one star.,1
Fido Super,0
Love watsap Watshapp loveeeeeeee.  Cookkk gozel,0
Rafis İyiki var 😍,0
Voice message sending issue Please find a good way (hotkey) for voice message button. It does not work properly. Very annoyingg,1
Cook beyendım Super rahat ıwlıyır,0
Status Video and audio do not match at the same time.,1
Aliyev Salam,0
👍👍👍❤️❤️❤️ 👍👍❤️❤️,0
Star İt doesn't go to the starred messages,0
"Stickers I liked this app until they added stickers. Now I have 50 messages per minute! It’s annoying! All people now think that they have to send those stickers! Please, dear WhatsApp’s developers, delee these stickers in the next update",1
здравствуйте пожалуйста создавайте смайлик кишечник и желудок для хирургов 😊,0
Sara Wonderful,0
"Dark theme I don’t want your gifs and stickers, I want a dark theme, please.",0
"Improvement I want liking SMS function in whatsapp which instagram has.
Please check it",0
"Whatsapp After uploading new ios 12, it does not work properly",1
Optimize for iOS 12.1 The Slide Animations is not good after updating to iOS 12.1,0
Not too bad Chatting works well but calling needs some work!! Overall whatsapp is my preffered sosial media app!!,0
Status Statusda yazilan reyleri facebookda oldugu kimi watsap kontaktimda  olan her kes gorsun,1
". Merhaba, bu mesajı whatsapp yöneticisine binlerce whatsapp kullanıcısının isteyi ile gönderiyorum. Gruplara az sayıda katılımcı katıla bildiği için açtığımız gruplara erişmek isteyen WhatsApp kullanıcıları yapamazlar. Çünkü yer hızlı bir şekilde dolduruyor. Lütfen gruba olan katılma sayısını artırın. En az 1000 veya daha fazla kullanıcının katılmasını öneririz. Umarız teklifimizi takdir edersiniz İlginiz için teşekkür ederiz.",0
🙏🏻 Whatsapp bussines please,0
Rashad Nazarlee Boyle bir site icin size teshekkur ediyorum hakiketen buyuk bir onur benim icin sizi seviyorum !!!❤️,0
"Güncelleme Durumlara ayrı, ayrı bakmak ço iyidir",0
🤨 ???,0
"Privacy Privacy, everyone can easily check my messages by hacking.",1
Beyendim Cox ideal dushunce,0
Aygun Seni sevirem,0
Thanks whatsapp Without whatsapp can’t imagine perfect connection.Thanks million thanks all of that,0
Bildirim problemi Bildirim sesi cikmiyor ayarlardan ayarlardim yinede oyle bunu aradan kaldirmanizi rica ediyorum,1
"Suggection Hi, I have a suggection in order to improve whats'up functionality. When receiving a whats'up message on the locked screen it would be better if an avatar to be seen near the name, but this function will be activated optionally. Thanks a lot in adcance.",0
Live photos Please make possible to share live photos,0
Photo What da hell is going with photo quality??!? It’s getting worse and worse and worse.,1
super mukemmel,0
Resim gönderme Resimlerin kalitesini azaltıyor,1
Perfect Super,0
bayıldım harika,0
Salam Cox gozel tesegurler Dunyanin en gozel whasap,0
Salam ela👍cox xowuma geldi)) Ela👍😊 cox xowum geldi,0
İphone Yaxşı işlemir,0
Sorun! WhatsApp niyə işləmir ???!!,0
Like Like ıs,0
🤫👍🏻👍🏻 🤫🤫👍🏻👍🏻👍🏻,0
Архив Почему архива нет у этой программы?,1
Hoslaniyorum Amma tamda bazi islemleri hosuma gitmiyor,0
Help me Help me please,0
W Muhtewem,0
"PHOTO VIDEO ON THE STORY Hello dear wp company 

When i put a """"""""selfie video"""""""" or normal video and photo on the story it becomes very low quality even the real video is HQ .",1
Melek Whatsapım işlemir nece edim,1
Esmer Cok beyeniyorum,1
"Complain There is problem connecting with security. Example, another profil picture is seen by me, but my privacy close. What happened?",1
"Feedback Hello, it cares all whatsapp users, when we put snap if it is long video it divides 3 parts for example, so first part is okay but other’s sound and vision are not same. It was always like that in all users , fix it please, i will be fertile, thanks for your attention",0
Very bad 👎🏻 I do not get a message from him,1
Salam Thanck you whatsap senol sen butun operatorlarin belini qirdin halaldi sene))),0
Kamran Goruntulu dansarken sesim getmir nedeni bildirerdiz?,0
Video Problem I have iphone 6s and i have problem..When I video calling to any people.he dont listen to me..please fix this bug !,1
🙏f 🙏🏻g,0
Лучшая Программа Лучшая Программа для Чата,0
"instagram: @turkayhesenli Superdi

instagram: @turkayhesenli",0
Good app Good,0
Ok Ok,0
Пожелания Ждем от разработчиков тоучблокировку приложения и автостерание текстов .,0
🌙 I want live video on WhatsApp 😕,0
Çok kotu Profil resm kalitesi durumdaki resmlerin kalitesi cok duşuk gorunuyo,1
"picture megapixel when İ share picture on story picture megapixel get lost, not only on story but also when İ send to someone  picture",0
Çok güzel çalışır Süper,0
Best app İt is super! Bravo!!!,0
When i call I don’t hear I can’t call,1
görüntülu sesim gitmiyor goruntulu sesim gitmedigi icin sevedim,1
Cok guzel soltan 37 37 😘,0
Ужас У меня фотки приобретают ужасное качество и становятся мутными когда ставлю в статусе.Исправьте это,1
I would ask you something about my watsapp accaunt l can't open this can you help me ? Hecer,1
"Размытие фото в статусе У меня айфон 6
В Вотсапе в последнее время,когда я выкладываю фотографию в статус,ухудшается качество.хотела бы чтоб устранили эту проблему",0
Heli We want all friends for camera video speak. 3 people 4 people video call,0
Suggestion I want to see my whatsapp contacts in app.,0
OMG Why don’t add?,1
"New emoji i want new emoji """"""""amulet (for evil eye"""""""")",0
Видео звонок Видео звонок ужасен!4 звезды из-за него. Ничего не видно. А так норм,0
After update There is a bug after update. When I get the message it does not show contact's name.,1
Perfect Very very good,0
все отлично ! отлично,0
write ✎ sildiyimiz mesajin vaxtini bir kenara yazn,0
"status bar hey status bar not working well, i cant share lyrics",0
apple watch почему всё ещё не поддерживает apple watch?😡,1
Name It doesn’t show who sents messages. Please fix,1
"Message sender Здравствуйте.
Не отображаются имена отправителя сообшения, после  последних двух обновлений.
Просьба решить проблему как можно скорее.
Спасибо.",1
Whatsapp İ don’t like the innovation in whatsapp. Because names are not in the show preview.,1
Message doesn’t show from who sms Why I cannot show from who sms get?,0
"Bug The notification does not show the name of the contact, just the word message appears. Please fix it as soon as possible",1
"Problem Hi. I have a problem in my whatsap. it doesnt show name who wrote you. in locked screen when somebody write to me it only shows """"""""whatsapp message"""""""" not name. please fix it",0
Dil problemi Zengi söndürerken ve ya qarşı rerf zengi red ederker ingilis dilinde yazılır zeng red edildi,1
"Çok teşekkür ederiz Çok güzel olmuş 
Herkesle konuşuyoruz ve fotoğraf gönderiyiz",0
"Глючит Отвратительно работают уведомления, они вообще не приходят. Сообщение видишь, когда заходишь в программу",1
Whatsapp Herweyi yaxwidi bidene reklam qoymuyun,0
Mutlu Cox sevıyorum,0
elvin_ibrahimli 👍🏻,0
bom bom,0
"Picture quality Fix picture quality problem. Picture’s quality is going to very low when i upload to whatsapp... 

if you dont fix, i will give you one star again and again...",1
Ela Ela,0
"Devil When my phone locked ,my mesaages dont come , till i enter the app.fixed it this problem .",1
👏👏👏😘😘😘😘 Whatcapp good 👍❤️🇦🇿,0
z buraya adminler baxmir ay insanlar burada yazirsizki sizinle bir bolgede yeni azerbaycanda olan insanlar baxsin bura razrabotcikler baxmir,0
Super Whatsapp👍🏼,0
Wp I think Apple Watch need this application,0
Ceferov1999 Cox güzel proqram,0
"Problem I can not update my iphone on 5s. All time billing and other information problems.but in my account all good , i downloaded abd update another apps without problems.",1
Muhtesem Fovkalade bir is yapmissiniz,0
Problem on photos for story Photos lose their quality when it is uploaded to story -_-,1
I like I like,0
👍 👍,0
Teşekürname Çok Teşekkür ederim,0
Good I can’t add multiple status on iPhone 8plus. How it does,1
Super This application is super👍🏻,0
Status not working Status not working,1
"Сделайте в оьновления!! Сделайте так чтобы когда удаляли сообщение, не писало в чате что сообщение было удалено, не зря де мы его удаляем чтобы другие не видели!! И ещё сделайте если мы случайно вышли из группы к ней можно было бы присоединится обратно, а то выходишь и надо ждать пока администратор добавит обратно",0
problems when i share pictures the quality of the pictures is very low,1
Durum Durumları 1 dakika Yapın ve ya 2 dakıka 30 saniye çok az,0
Dikkat Bu özelliği ksldırın lütfen kimse gizlimi okuyamasın benim whatsap başkasının telefonuna yüklenemesin,0
Вы можете ещё много чего сделать Например что бы люди могли несколькими разговаривать,0
Super Hersey guzel,1
Whatsapp Whatsapp çok iyi bişey bayılıyom,0
Guzel Cok guzeeellll❤️❤️❤️❤️❤️❤️❤️,0
Çok kötü Medeniyet yerine WhatsApp kullanıyorum çünkü ücretsiz whatsap candır şakasına şok kötü yazdım efsanesiniz,0
Love itr Big thx for easy Life,0
Rafiq Супер Спасибо разрабом за всё но есть одно но если ты кого-то заблокировал и он есть в одной группе то он пишит в группу и сообщение приходит даже если он заблокирован,0
Elestun Elestun,0
More image kişileri keşfete girdiğimde ekranda kişilerin görüntüsü qidiyor bem-beyaz oluyor😔,1
😎😎😎😎😎 😎😎😎😎😎,0
10🌟 ⭐️,0
super yazwı ki varsız,0
Çok xoşuma gidiyor Sizin,0
Instagram Истаграм крутой приложения),0
Super!!! @insagram,0
new updates Following activity tab gone,1
"sorry there was a problem with your request fix it
this app is the worst app i have ever seen !!",1
@aysu.oficcal Ela super.Beatufil,0
👍 👍,0
problem can't add someone else's post to my story,0
Zadehh Hello Instagram Team!You are very amazing. Thanks to your program I am both enjoying and resting. But I have a question to you. lately instagram is blocked in many pages.why?Please fix this problem.,0
Very good Very good,0
azerbaycanlıyım. eliko_025_ çok iyi be inistagramy,0
Great application I love instagram,0
İnstagram hkk Çox gözəl,0
Black Mode dark mode with update would be great,1
❤️ I love instagram,0
"Dark Mode It would be great if you would bring dark mode,that is one of the instagram's worsts.",1
Babat işdiir özm ölm DÜZ SÖHBƏTDİ SƏHVDİ DİYƏN ŞEYTAN ƏMƏLİNDƏDİ,0
"Bad attitude to users. They blocked me 2 times without explaining the reasons. I created a new account and uploaded my personal photos for 3 days, where there is no violence and other prohibited things. A week later, again ban and without explanation. What the hell?",1
"Instagram has a problem 👎🏻 I can’t select more than two photos because it changes the in a bad way, it loses the quality of photo. Please solve the problem!",1
_music_pg3_ Superdi👍🏻,0
